@relation adjectives
@attribute 'pa1' {0,1}
@attribute 'pa2' {0,1}
@attribute 'pa3' {0,1}
@attribute 'pa4' {0,1}
@attribute 'pa5' {0,1}
@attribute 'pa6' {0,1}
@attribute 'pa7' {0,1}
@attribute 'pa8' {0,1}
@attribute 'pa9' {0,1}
@attribute 'pa10' {0,1}
@attribute 'pa11' {0,1}
@attribute 'pa12' {0,1}
@attribute 'pa13' {0,1}
@attribute 'pa14' {0,1}
@attribute 'pa15' {0,1}
@attribute 'pa16' {0,1}
@attribute 'pa17' {0,1}
@attribute 'pa18' {0,1}
@attribute 'pa19' {0,1}
@attribute 'pa20' {0,1}
@attribute 'pa21' {0,1}
@attribute 'pa22' {0,1}
@attribute 'pa23' {0,1}
@attribute 'pa24' {0,1}
@attribute 'pa25' {0,1}
@attribute 'pa26' {0,1}
@attribute 'pa27' {0,1}
@attribute 'pa28' {0,1}
@attribute 'pa29' {0,1}
@attribute 'pa30' {0,1}
@attribute 'pa31' {0,1}
@attribute 'pa32' {0,1}
@attribute 'pa33' {0,1}
@attribute 'pa34' {0,1}
@attribute 'pa35' {0,1}
@attribute 'pa36' {0,1}
@attribute 'pa37' {0,1}
@attribute 'pa38' {0,1}
@attribute 'pa39' {0,1}
@attribute 'pa40' {0,1}
@attribute 'pa41' {0,1}
@attribute 'pa42' {0,1}
@attribute 'pa43' {0,1}
@attribute 'pa44' {0,1}
@attribute 'pa45' {0,1}
@attribute 'pa46' {0,1}
@attribute 'pa47' {0,1}
@attribute 'pa48' {0,1}
@attribute 'pa49' {0,1}
@attribute 'pa50' {0,1}
@attribute 'pa51' {0,1}
@attribute 'pa52' {0,1}
@attribute 'pa53' {0,1}
@attribute 'pa54' {0,1}
@attribute 'pa55' {0,1}
@attribute 'pa56' {0,1}
@attribute 'pa57' {0,1}
@attribute 'pa58' {0,1}
@attribute 'pa59' {0,1}
@attribute 'pa60' {0,1}
@attribute 'pa61' {0,1}
@attribute 'pa62' {0,1}
@attribute 'pa63' {0,1}
@attribute 'pa64' {0,1}
@attribute 'pa65' {0,1}
@attribute 'pa66' {0,1}
@attribute 'pa67' {0,1}
@attribute 'pa68' {0,1}
@attribute 'pa69' {0,1}
@attribute 'pa70' {0,1}
@attribute 'pa71' {0,1}
@attribute 'pa72' {0,1}
@attribute 'pa73' {0,1}
@attribute 'pa74' {0,1}
@attribute 'pa75' {0,1}
@attribute 'pa76' {0,1}
@attribute 'pa77' {0,1}
@attribute 'pa78' {0,1}
@attribute 'pa79' {0,1}
@attribute 'pa80' {0,1}
@attribute 'pa81' {0,1}
@attribute 'pa82' {0,1}
@attribute 'pa83' {0,1}
@attribute 'pa84' {0,1}
@attribute 'pa85' {0,1}
@attribute 'pa86' {0,1}
@attribute 'pa87' {0,1}
@attribute 'pa88' {0,1}
@attribute 'pa89' {0,1}
@attribute 'pa90' {0,1}
@attribute 'pa91' {0,1}
@attribute 'pa92' {0,1}
@attribute 'pa93' {0,1}
@attribute 'pa94' {0,1}
@attribute 'pa95' {0,1}
@attribute 'pa96' {0,1}
@attribute 'pa97' {0,1}
@attribute 'pa98' {0,1}
@attribute 'pa99' {0,1}
@attribute 'pa100' {0,1}
@attribute 'pa101' {0,1}
@attribute 'pa102' {0,1}
@attribute 'pa103' {0,1}
@attribute 'pa104' {0,1}
@attribute 'pa105' {0,1}
@attribute 'pa106' {0,1}
@attribute 'pa107' {0,1}
@attribute 'pa108' {0,1}
@attribute 'pa109' {0,1}
@attribute 'pa110' {0,1}
@attribute 'pa111' {0,1}
@attribute 'pa112' {0,1}
@attribute 'pa113' {0,1}
@attribute 'pa114' {0,1}
@attribute 'pa115' {0,1}
@attribute 'pa116' {0,1}
@attribute 'pa117' {0,1}
@attribute 'pa118' {0,1}
@attribute 'pa119' {0,1}
@attribute 'pa120' {0,1}
@attribute 'pa121' {0,1}
@attribute 'pa122' {0,1}
@attribute 'pa123' {0,1}
@attribute 'pa124' {0,1}
@attribute 'pa125' {0,1}
@attribute 'pa126' {0,1}
@attribute 'pa127' {0,1}
@attribute 'pa128' {0,1}
@attribute 'pa129' {0,1}
@attribute 'pa130' {0,1}
@attribute 'pa131' {0,1}
@attribute 'pa132' {0,1}
@attribute 'pa133' {0,1}
@attribute 'pa134' {0,1}
@attribute 'pa135' {0,1}
@attribute 'pa136' {0,1}
@attribute 'pa137' {0,1}
@attribute 'pa138' {0,1}
@attribute 'pa139' {0,1}
@attribute 'pa140' {0,1}
@attribute 'pa141' {0,1}
@attribute 'pa142' {0,1}
@attribute 'pa143' {0,1}
@attribute 'pa144' {0,1}
@attribute 'pa145' {0,1}
@attribute 'pa146' {0,1}
@attribute 'pa147' {0,1}
@attribute 'pa148' {0,1}
@attribute 'pa149' {0,1}
@attribute 'pa150' {0,1}
@attribute 'pa151' {0,1}
@attribute 'pa152' {0,1}
@attribute 'pa153' {0,1}
@attribute 'pa154' {0,1}
@attribute 'pa155' {0,1}
@attribute 'pa156' {0,1}
@attribute 'pa157' {0,1}
@attribute 'pa158' {0,1}
@attribute 'pa159' {0,1}
@attribute 'pa160' {0,1}
@attribute 'pa161' {0,1}
@attribute 'pa162' {0,1}
@attribute 'pa163' {0,1}
@attribute 'pa164' {0,1}
@attribute 'pa165' {0,1}
@attribute 'pa166' {0,1}
@attribute 'pa167' {0,1}
@attribute 'pa168' {0,1}
@attribute 'pa169' {0,1}
@attribute 'pa170' {0,1}
@attribute 'pa171' {0,1}
@attribute 'pa172' {0,1}
@attribute 'pa173' {0,1}
@attribute 'pa174' {0,1}
@attribute 'pa175' {0,1}
@attribute 'pa176' {0,1}
@attribute 'pa177' {0,1}
@attribute 'pa178' {0,1}
@attribute 'pa179' {0,1}
@attribute 'pa180' {0,1}
@attribute 'pa181' {0,1}
@attribute 'pa182' {0,1}
@attribute 'pa183' {0,1}
@attribute 'pa184' {0,1}
@attribute 'pa185' {0,1}
@attribute 'pa186' {0,1}
@attribute 'pa187' {0,1}
@attribute 'pa188' {0,1}
@attribute 'pa189' {0,1}
@attribute 'pa190' {0,1}
@attribute 'pa191' {0,1}
@attribute 'pa192' {0,1}
@attribute 'pa193' {0,1}
@attribute 'pa194' {0,1}
@attribute 'pa195' {0,1}
@attribute 'pa196' {0,1}
@attribute 'pa197' {0,1}
@attribute 'pa198' {0,1}
@attribute 'pa199' {0,1}
@attribute 'pa200' {0,1}
@attribute 'pa201' {0,1}
@attribute 'pa202' {0,1}
@attribute 'pa203' {0,1}
@attribute 'pa204' {0,1}
@attribute 'pa205' {0,1}
@attribute 'pa206' {0,1}
@attribute 'pa207' {0,1}
@attribute 'pa208' {0,1}
@attribute 'pa209' {0,1}
@attribute 'pa210' {0,1}
@attribute 'pa211' {0,1}
@attribute 'pa212' {0,1}
@attribute 'pa213' {0,1}
@attribute 'pa214' {0,1}
@attribute 'pa215' {0,1}
@attribute 'pa216' {0,1}
@attribute 'pa217' {0,1}
@attribute 'pa218' {0,1}
@attribute 'pa219' {0,1}
@attribute 'pa220' {0,1}
@attribute 'pa221' {0,1}
@attribute 'pa222' {0,1}
@attribute 'pa223' {0,1}
@attribute 'pa224' {0,1}
@attribute 'pa225' {0,1}
@attribute 'pa226' {0,1}
@attribute 'pa227' {0,1}
@attribute 'pa228' {0,1}
@attribute 'pa229' {0,1}
@attribute 'pa230' {0,1}
@attribute 'pa231' {0,1}
@attribute 'pa232' {0,1}
@attribute 'pa233' {0,1}
@attribute 'pa234' {0,1}
@attribute 'pa235' {0,1}
@attribute 'pa236' {0,1}
@attribute 'pa237' {0,1}
@attribute 'pa238' {0,1}
@attribute 'pa239' {0,1}
@attribute 'pa240' {0,1}
@attribute 'pa241' {0,1}
@attribute 'pa242' {0,1}
@attribute 'pa243' {0,1}
@attribute 'pa244' {0,1}
@attribute 'pa245' {0,1}
@attribute 'pa246' {0,1}
@attribute 'pa247' {0,1}
@attribute 'pa248' {0,1}
@attribute 'pa249' {0,1}
@attribute 'pa250' {0,1}
@attribute 'pa251' {0,1}
@attribute 'pa252' {0,1}
@attribute 'pa253' {0,1}
@attribute 'pa254' {0,1}
@attribute 'pa255' {0,1}
@attribute 'pa256' {0,1}
@attribute 'pa257' {0,1}
@attribute 'pa258' {0,1}
@attribute 'pa259' {0,1}
@attribute 'pa260' {0,1}
@attribute 'pa261' {0,1}
@attribute 'pa262' {0,1}
@attribute 'pa263' {0,1}
@attribute 'pa264' {0,1}
@attribute 'pa265' {0,1}
@attribute 'pa266' {0,1}
@attribute 'pa267' {0,1}
@attribute 'pa268' {0,1}
@attribute 'pa269' {0,1}
@attribute 'pa270' {0,1}
@attribute 'pa271' {0,1}
@attribute 'pa272' {0,1}
@attribute 'pa273' {0,1}
@attribute 'pa274' {0,1}
@attribute 'pa275' {0,1}
@attribute 'pa276' {0,1}
@attribute 'pa277' {0,1}
@attribute 'pa278' {0,1}
@attribute 'pa279' {0,1}
@attribute 'pa280' {0,1}
@attribute 'pa281' {0,1}
@attribute 'pa282' {0,1}
@attribute 'pa283' {0,1}
@attribute 'pa284' {0,1}
@attribute 'pa285' {0,1}
@attribute 'pa286' {0,1}
@attribute 'pa287' {0,1}
@attribute 'pa288' {0,1}
@attribute 'pa289' {0,1}
@attribute 'pa290' {0,1}
@attribute 'pa291' {0,1}
@attribute 'pa292' {0,1}
@attribute 'pa293' {0,1}
@attribute 'pa294' {0,1}
@attribute 'pa295' {0,1}
@attribute 'pa296' {0,1}
@attribute 'pa297' {0,1}
@attribute 'pa298' {0,1}
@attribute 'pa299' {0,1}
@attribute 'pa300' {0,1}
@attribute 'pa301' {0,1}
@attribute 'pa302' {0,1}
@attribute 'pa303' {0,1}
@attribute 'pa304' {0,1}
@attribute 'pa305' {0,1}
@attribute 'pa306' {0,1}
@attribute 'pa307' {0,1}
@attribute 'pa308' {0,1}
@attribute 'pa309' {0,1}
@attribute 'pa310' {0,1}
@attribute 'pa311' {0,1}
@attribute 'pa312' {0,1}
@attribute 'pa313' {0,1}
@attribute 'pa314' {0,1}
@attribute 'pa315' {0,1}
@attribute 'pa316' {0,1}
@attribute 'pa317' {0,1}
@attribute 'pa318' {0,1}
@attribute 'pa319' {0,1}
@attribute 'pa320' {0,1}
@attribute 'pa321' {0,1}
@attribute 'pa322' {0,1}
@attribute 'pa323' {0,1}
@attribute 'pa324' {0,1}
@attribute 'pa325' {0,1}
@attribute 'pa326' {0,1}
@attribute 'pa327' {0,1}
@attribute 'pa328' {0,1}
@attribute 'pa329' {0,1}
@attribute 'pa330' {0,1}
@attribute 'pa331' {0,1}
@attribute 'pa332' {0,1}
@attribute 'pa333' {0,1}
@attribute 'pa334' {0,1}
@attribute 'pa335' {0,1}
@attribute 'pa336' {0,1}
@attribute 'pa337' {0,1}
@attribute 'pa338' {0,1}
@attribute 'pa339' {0,1}
@attribute 'pa340' {0,1}
@attribute 'pa341' {0,1}
@attribute 'pa342' {0,1}
@attribute 'pa343' {0,1}
@attribute 'pa344' {0,1}
@attribute 'pa345' {0,1}
@attribute 'pa346' {0,1}
@attribute 'pa347' {0,1}
@attribute 'pa348' {0,1}
@attribute 'pa349' {0,1}
@attribute 'pa350' {0,1}
@attribute 'pa351' {0,1}
@attribute 'pa352' {0,1}
@attribute 'pa353' {0,1}
@attribute 'pa354' {0,1}
@attribute 'pa355' {0,1}
@attribute 'pa356' {0,1}
@attribute 'pa357' {0,1}
@attribute 'pa358' {0,1}
@attribute 'pa359' {0,1}
@attribute 'pa360' {0,1}
@attribute 'pa361' {0,1}
@attribute 'pa362' {0,1}
@attribute 'pa363' {0,1}
@attribute 'pa364' {0,1}
@attribute 'pa365' {0,1}
@attribute 'pa366' {0,1}
@attribute 'pa367' {0,1}
@attribute 'pa368' {0,1}
@attribute 'pa369' {0,1}
@attribute 'pa370' {0,1}
@attribute 'pa371' {0,1}
@attribute 'pa372' {0,1}
@attribute 'pa373' {0,1}
@attribute 'pa374' {0,1}
@attribute 'pa375' {0,1}
@attribute 'pa376' {0,1}
@attribute 'pa377' {0,1}
@attribute 'pa378' {0,1}
@attribute 'pa379' {0,1}
@attribute 'pa380' {0,1}
@attribute 'pa381' {0,1}
@attribute 'pa382' {0,1}
@attribute 'pa383' {0,1}
@attribute 'pa384' {0,1}
@attribute 'pa385' {0,1}
@attribute 'pa386' {0,1}
@attribute 'pa387' {0,1}
@attribute 'pa388' {0,1}
@attribute 'pa389' {0,1}
@attribute 'pa390' {0,1}
@attribute 'pa391' {0,1}
@attribute 'pa392' {0,1}
@attribute 'pa393' {0,1}
@attribute 'pa394' {0,1}
@attribute 'pa395' {0,1}
@attribute 'pa396' {0,1}
@attribute 'pa397' {0,1}
@attribute 'pa398' {0,1}
@attribute 'class' {0,1}
@data

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
